FIRST,LAST,PERSONALITY,DOG,TRAIT,DOG_AGE
Mozell,North,hilarious,Chihuahua,friendly,1
Paul,Allen,hilarious,Chihuahua,friendly,12
Myles,Granillo,hilarious,Pomeranian,friendly,10
Andrew,Meyers,hostile,Pug,aggressive,12
James,Yoder,loud,Maltese,aloof,16
Miguel,Gray,quiet,Maltese,aggressive,12
Karen,Bohm,abnoxious,Doberman,shy,8
Claudia,Mahan,loud,Poodle,shy,11
Anita,Mills,neurotic,Spaniel,shy,13
Kathy,Sharp,hilarious,Spaniel,friendly,8
George,Brunson,hilarious,Maltese,friendly,1
Michelle,Sikora,hostile,Dane,scared,12
Carrie,Johnson,hostile,Bulldog,aloof,2
Cory,Scott,loud,Spaniel,scared,7
Irene,Pitts,quiet,Dane,aloof,1
John,Russell,abnoxious,Spaniel,aloof,9
Donald,Stacey,hilarious,Doberman,friendly,8
Minnie,Hicks,hilarious,Pug,friendly,4
Dawn,Elliott,quiet,Pointer,aloof,10
Juan,Pagano,hilarious,Pomeranian,friendly,16
Jesica,Baldwin,hostile,Pointer,aggressive,10
David,Perkins,hostile,Poodle,aggressive,16
Frances,Cardenas,hostile,Beagle,scared,7
Michael,Bruce,neurotic,Dane,aloof,14
Theresa,Chance,hostile,Rottweiler,aggressive,8
Phyllis,Scofield,hostile,Poodle,scared,16
Karen,Patterson,hostile,Chihuahua,shy,1
Raymond,Simpson,loud,Dachshund,friendly,13
Donald,Hudson,hostile,Pointer,scared,9
Frank,Cruz,hostile,Bulldog,aggressive,7
Robert,Destefano,quiet,Spaniel,shy,8
Sarah,Wynter,neurotic,Pug,shy,16
Robert,Hugley,abnoxious,Rottweiler,aggressive,12
Barbara,Jenkins,hilarious,Spaniel,friendly,8
Ward,West,quiet,Pug,aloof,15
Harry,Brown,hostile,Boxer,shy,6
Janet,Crews,hilarious,Doberman,friendly,16
Thomas,Matthews,abnoxious,Rottweiler,aggressive,2
Lucille,Kelly,quiet,Dane,shy,5
Nita,McCarthy,quiet,Bulldog,aggressive,4
Cherry,Stepp,hilarious,Poodle,friendly,6
Natalie,Poore,hostile,Boxer,shy,5
Adrian,Skelton,hilarious,Poodle,friendly,7
Monica,Plumb,hostile,Beagle,scared,9
Robert,Dingle,loud,Bulldog,aloof,15
Ernest,Nunez,neurotic,Pug,friendly,2
Shawn,Salinas,abnoxious,Pomeranian,aggressive,2
Thomas,Miller,neurotic,Beagle,aloof,4
Marie,McCall,neurotic,Bulldog,aggressive,4
Rachel,Weaver,quiet,Pug,aloof,4
Brent,Nehls,hostile,Boxer,aloof,6
Avery,Collins,hostile,Dachshund,aggressive,16
Jesus,Holt,abnoxious,Chihuahua,shy,8
Dominick,Roche,neurotic,Poodle,friendly,16
Shirley,Hopkins,neurotic,Boxer,aggressive,2
Arlene,Rasmussen,quiet,Pug,shy,10
Alma,Boyd,neurotic,Pointer,aloof,1
Marion,Sauceda,hostile,Boxer,friendly,5
Bessie,Dozier,hostile,Maltese,shy,11
Alexandra,Fitzgerald,loud,Spaniel,shy,8
Fannie,Jacobs,hilarious,Pomeranian,friendly,5
Brandon,Minor,quiet,Doberman,friendly,10
Quincy,Roque,quiet,Boxer,aloof,9
Maria,Schutz,abnoxious,Doberman,aloof,5
Franchesca,Lee,hostile,Dane,aggressive,6
Aurora,Crespo,hostile,Pomeranian,aloof,3
Regina,Mack,loud,Pomeranian,aggressive,1
Cary,Harriman,neurotic,Pomeranian,shy,13
John,Morgan,abnoxious,Pug,aloof,9
Jonathan,Spencer,quiet,Doberman,aloof,12
Nancy,Wildes,abnoxious,Pug,scared,8
James,Hoffman,quiet,Pointer,friendly,11
Richard,Bass,loud,Rottweiler,aggressive,5
Franchesca,Deaton,loud,Rottweiler,aggressive,1
